datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,AE,AE,844.707,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,BC,BC,3008.152,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1707.194,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,DPL,EASTON,24.611,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,JC,JC,2176.022,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,ME,ME,1388.399,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PE,PE,3913.017,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2351.764,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PEP,SMECO,333.905,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PL,PLCO,3451.629,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PL,UGI,107.366,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PN,PN,1683.087,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,PS,PS,4087.187,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,MIDATL,RECO,RECO,141.654,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPAPT,4064.992,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPIMP,2791.730,True
1/1/2016 5:00:00 AM,1/1/2016 12:00:00 AM,RFC,WEST,AEP,AEPKPT,730.477,True
