load_area,avg_mse,std_mse,avg_rmse,avg_mae,avg_mape,total_predictions
EASTON,17.374796077083335,4.216370771842597,4.143722919132035,3.3417270833333332,12.678152602631279,1200
VMEU,31.219086787418984,9.100185042897126,5.543979601196041,4.038406805555556,5.740211618157693,1200
RECO,56.607676023593754,26.43855628342078,7.3815302133361715,6.204701041666667,4.409623643378806,1200
OVEC,115.30175347222223,38.82439458203694,10.610007597006735,8.565347222222222,24.860833379972327,1200
UGI,142.07705197619788,55.87921509716652,11.741096159334532,9.618263958333333,8.181775753909173,1200
PAPWR,2740.6423016040108,1821.860547937157,50.38836829807099,42.56133895833333,8.17297623448511,1200
SMECO,4851.815865485572,1122.9287638991655,69.26087794893185,55.476115625,14.812751747521563,1200
AECO,5947.560842558669,666.5234847630344,77.02090016766651,61.35647625,7.041240308315037,1200
DUQ,9887.086724139532,6464.391005893375,95.30227499845572,80.93548645833333,5.814348172177027,1200
AEPKPT,11434.64138317927,4145.731833593846,105.44248409208971,86.37002958333333,13.331745314230838,1200
PN,19373.909437701463,7451.8489997936385,137.10590914083076,114.93656375,6.145280930283989,1200
ME,20992.0993391749,5152.63908417187,143.89263517139716,121.37827333333334,7.412466244583233,1200
DAY,23155.819268791667,7230.359595434265,150.57450205228383,127.79934499999999,6.94892555419851,1200
JC,27765.740139374946,4911.754642290439,166.1301069444055,135.44100104166665,6.204532092900855,1200
AEPIMP,30937.299993918386,10463.152180984342,173.65268339006468,145.21508770833333,4.995277756094506,1200
DPLCO,57555.67301064968,15298.179370468824,238.15463121436272,193.00273458333334,10.210248008096945,1200
DEOK,59687.26697517499,22912.875489107657,241.2651010117435,203.7514325,7.41087610537123,1200
PS,69443.41788958307,20114.626222891362,261.2899266798906,211.18159604166664,4.852237982589824,1200
PEPCO,70011.591461514,37165.93525733578,258.53183373978084,218.190684375,8.882163647748971,1200
EKPC,77534.33085475308,41741.34897880489,270.71809825479903,221.696714375,13.583282629847357,1200
PE,114156.5529009202,55622.695938531186,331.43196722243925,274.16177458333334,6.976047367081904,1200
BC,124861.95386873752,25084.813623602426,352.0473575991805,293.16943291666666,9.251860987596668,1200
PLCO,155935.7903954752,33334.434654918456,392.94624826370176,322.1947041666666,7.402398095684779,1200
OE,171174.64358312797,99845.83077801655,399.0649004646672,340.6883114583333,5.168933066001808,1200
AEPOPT,308132.2154640049,174318.9368888808,534.7976210871254,454.7920954166666,7.120313313155063,1200
AP,314274.9724696291,108686.48161725607,554.2560996621639,464.06093541666667,8.502117112152417,1200
AEPAPT,316986.09609707346,47025.93893509513,561.7815246640782,463.2160002083333,10.618766719380616,1200
CE,522966.96126776823,277825.591850066,702.1227088496308,601.552499375,6.171672411677908,1200
DOM,2704061.24338229,1527094.2568928609,1590.0882189821168,1317.2144083333333,10.201153603969953,1200
RTO,42437404.17278446,18667985.506244797,6392.185555531296,5301.6301802083335,6.251833774134217,1200
