datetime_beginning_ept,temperature_2m,apparent_temperature,relative_humidity_2m,shortwave_radiation,wind_speed_10m,temp_squared,cooling_degree_hours,heating_degree_hours,heat_index,discomfort_index,is_daytime,wind_chill
2016-01-01 00:00:00,4.4,0.3,62,0.0,11.8,19.360000000000003,0.0,13.6,1.2690000000000006,6.5109,0,1.5682953327359406
2016-01-01 01:00:00,4.1,-0.1,62,0.0,11.8,16.81,0.0,13.9,0.8759999999999994,6.2736,0,1.2052962085259264
2016-01-01 02:00:00,3.8,-0.4,61,0.0,11.8,14.44,0.0,14.2,0.5365000000000002,6.09515,0,0.8422970843159145
2016-01-01 03:00:00,3.7,-0.6,60,0.0,11.4,13.690000000000001,0.0,14.3,0.45999999999999996,6.0760000000000005,0,0.802175880284818
2016-01-01 04:00:00,3.5,-0.9,60,0.0,12.2,12.25,0.0,14.5,0.20000000000000018,5.92,0,0.4000611014851079
2016-01-01 05:00:00,3.3,-1.3,60,0.0,13.5,10.889999999999999,0.0,14.7,-0.06000000000000005,5.763999999999999,0,-0.08777663916344025
2016-01-01 06:00:00,3.0,-1.4,60,0.0,12.4,9.0,0.0,15.0,-0.44999999999999973,5.53,0,-0.24608476007714297
2016-01-01 07:00:00,2.7,-1.6,61,0.0,11.1,7.290000000000001,0.0,15.3,-0.899,5.2311000000000005,0,-0.33985272648493137
2016-01-01 08:00:00,2.6,-1.6,62,10.0,10.7,6.760000000000001,0.0,15.4,-1.089,5.0871,1,-0.3713056189443107
2016-01-01 09:00:00,3.1,-1.4,59,87.0,12.8,9.610000000000001,0.0,14.9,-0.2629999999999999,5.6707,1,-0.20187913789722045
2016-01-01 10:00:00,3.9,-0.8,55,221.0,13.5,15.209999999999999,0.0,14.1,0.9849999999999999,6.5235,1,0.6459078391184332
2016-01-01 11:00:00,4.7,-0.4,53,334.0,16.3,22.090000000000003,0.0,13.3,2.1029999999999998,7.2333,1,1.1827752416172328
2016-01-01 12:00:00,5.5,0.2,51,407.0,17.9,30.25,0.0,12.5,3.205,7.9254999999999995,1,1.9589540502367644
2016-01-01 13:00:00,6.3,0.9,49,445.0,18.6,39.69,0.0,11.7,4.291,8.6001,1,2.872750133127219
2016-01-01 14:00:00,5.8,0.1,46,362.0,20.2,33.64,0.0,12.2,3.799,8.3839,1,2.0530867364096683
2016-01-01 15:00:00,5.2,-0.6,45,216.0,20.5,27.040000000000003,0.0,12.8,3.1075,8.013250000000001,1,1.2598164233584916
2016-01-01 16:00:00,4.5,-1.3,45,94.0,19.2,20.25,0.0,13.5,2.25,7.525,1,0.5368222663638123
2016-01-01 17:00:00,3.9,-1.2,44,15.0,14.8,15.209999999999999,0.0,14.1,1.568,7.1648000000000005,1,0.4251393498020022
2016-01-01 18:00:00,3.2,-1.9,46,0.0,14.7,10.240000000000002,0.0,14.8,0.601,6.556100000000001,0,-0.4202090703258199
2016-01-01 19:00:00,2.5,-2.7,48,0.0,14.7,6.25,0.0,15.5,-0.3799999999999999,5.932,0,-1.2819486188417306
2016-01-01 20:00:00,1.9,-3.2,49,0.0,14.1,3.61,0.0,16.1,-1.1869999999999998,5.4343,0,-1.912119219707818
2016-01-01 21:00:00,1.5,-3.4,49,0.0,12.4,2.25,0.0,16.5,-1.685,5.1465000000000005,0,-2.0681132862846847
2016-01-01 22:00:00,1.1,-3.7,50,0.0,11.2,1.2100000000000002,0.0,16.9,-2.25,4.785,0,-2.289757019563946
2016-01-01 23:00:00,0.8,-3.7,51,0.0,9.7,0.6400000000000001,0.0,17.2,-2.6935000000000002,4.4921500000000005,0,-2.281286741584673
2016-01-02 00:00:00,0.5,-3.9,52,0.0,8.7,0.25,0.0,17.5,-3.14,4.196,0,-2.361510125994145
2016-01-02 01:00:00,0.2,-4.2,54,0.0,9.0,0.04000000000000001,0.0,17.8,-3.6610000000000005,3.8179000000000003,0,-2.802914937646798
2016-01-02 02:00:00,0.1,-4.3,59,0.0,9.7,0.010000000000000002,0.0,17.9,-4.148000000000001,3.347200000000001,0,-3.115568157617426
2016-01-02 03:00:00,-0.2,-4.6,62,0.0,9.7,0.04000000000000001,0.0,18.2,-4.757,2.8723,0,-3.4731173359171783
2016-01-02 04:00:00,-0.6,-5.0,65,0.0,10.2,0.36,0.0,18.6,-5.507499999999999,2.30675,0,-4.0846660281992095
2016-01-02 05:00:00,-0.9,-4.8,66,0.0,6.7,0.81,0.0,18.9,-5.982000000000001,1.9798,0,-3.337747033256326
2016-01-02 06:00:00,-1.2,-5.1,67,0.0,6.5,1.44,0.0,19.2,-6.4595,1.6495499999999998,0,-3.6077781642571667
2016-01-02 07:00:00,-1.4,-5.7,66,0.0,8.8,1.9599999999999997,0.0,19.4,-6.647,1.5733000000000001,0,-4.638140318035875
2016-01-02 08:00:00,-1.3,-5.7,65,15.0,9.4,1.6900000000000002,0.0,19.3,-6.4350000000000005,1.7415,1,-4.698411093327221
2016-01-02 09:00:00,0.5,-3.7,58,136.0,8.6,0.25,0.0,17.5,-3.5599999999999996,3.7340000000000004,1,-2.332325683667231
2016-01-02 10:00:00,1.9,-2.7,50,282.0,11.3,3.61,0.0,16.1,-1.25,5.365,1,-1.3479143657673776
2016-01-02 11:00:00,3.0,-1.9,47,394.0,12.6,9.0,0.0,15.0,0.2975000000000003,6.352250000000001,1,-0.28512584121531925
2016-01-02 12:00:00,3.9,-1.0,46,457.0,13.0,15.209999999999999,0.0,14.1,1.4619999999999997,7.0482000000000005,1,0.7355972895955891
2016-01-02 13:00:00,4.6,-0.2,45,462.0,13.4,21.159999999999997,0.0,13.4,2.3724999999999996,7.59475,1,1.5190846457449947
2016-01-02 14:00:00,5.1,0.2,45,409.0,14.0,26.009999999999998,0.0,12.9,2.9849999999999994,7.9435,1,2.03054652529499
2016-01-02 15:00:00,5.5,0.4,43,298.0,15.1,30.25,0.0,12.5,3.565,8.3215,1,2.350406851855504
2016-01-02 16:00:00,5.2,0.3,45,159.0,13.7,27.040000000000003,0.0,12.8,3.1075,8.013250000000001,1,2.202303147134658
2016-01-02 17:00:00,4.2,0.3,49,25.0,7.2,17.64,0.0,13.8,1.6764999999999999,7.08915,1,2.4209969466108836
2016-01-02 18:00:00,3.1,-0.6,55,0.0,6.3,9.610000000000001,0.0,14.9,-0.03500000000000014,5.9215,0,1.433179745861884
2016-01-02 19:00:00,1.9,-1.8,61,0.0,6.6,3.61,0.0,16.1,-1.943,4.6027000000000005,0,-0.05783042998328369
2016-01-02 20:00:00,1.0,-2.4,67,0.0,5.2,1.0,0.0,17.0,-3.5225,3.45025,0,-0.5443374079874118
2016-01-02 21:00:00,0.2,-3.3,71,0.0,5.4,0.04000000000000001,0.0,17.8,-4.8765,2.4808500000000007,0,-1.5435102638995977
2016-01-02 22:00:00,-0.4,-3.9,74,0.0,5.4,0.16000000000000003,0.0,18.4,-5.913,1.7307000000000006,0,-2.227995910651501
2016-01-02 23:00:00,-0.7,-4.2,76,0.0,5.0,0.48999999999999994,0.0,18.7,-6.476,1.3064000000000002,0,-2.383541731499269
2016-01-03 00:00:00,-0.9,-4.6,77,0.0,6.6,0.81,0.0,18.9,-6.829000000000001,1.0481000000000003,0,-3.2995405121059345
2016-01-03 01:00:00,-0.9,-4.4,77,0.0,5.9,0.81,0.0,18.9,-6.829000000000001,1.0481000000000003,0,-3.0175649475072817
2016-01-03 02:00:00,-1.1,-4.9,78,0.0,7.4,1.2100000000000002,0.0,19.1,-7.183999999999999,0.7875999999999999,0,-3.8260774423642823
2016-01-03 03:00:00,-0.9,-5.0,78,0.0,9.2,0.81,0.0,18.9,-6.906000000000001,0.9633999999999999,0,-4.16517014447336
2016-01-03 04:00:00,-0.6,-4.9,78,0.0,11.2,0.36,0.0,18.6,-6.489,1.2271,0,-4.3384333978787275
2016-01-03 05:00:00,-0.3,-4.4,77,0.0,9.9,0.09,0.0,18.3,-5.998,1.5722,0,-3.6463524320976504
2016-01-03 06:00:00,-0.1,-4.4,75,0.0,11.2,0.010000000000000002,0.0,18.1,-5.574999999999999,1.9075000000000002,0,-3.7358815219037926
2016-01-03 07:00:00,-0.0,-4.3,74,0.0,11.1,0.0,0.0,18.0,-5.365,2.0735,0,-3.591373325773093
2016-01-03 08:00:00,0.2,-4.2,72,14.0,11.8,0.04000000000000001,0.0,17.8,-4.9479999999999995,2.4022000000000006,1,-3.5136924062042434
2016-01-03 09:00:00,2.3,-2.1,65,136.0,12.7,5.289999999999999,0.0,15.7,-1.665,4.6485,1,-1.1563227481537863
2016-01-03 10:00:00,4.5,0.2,57,284.0,12.2,20.25,0.0,13.5,1.6500000000000004,6.865,1,1.6132055101365808
2016-01-03 11:00:00,5.9,1.3,49,398.0,13.4,34.81,0.0,12.1,3.7930000000000006,8.3123,1,3.1078049943010293
2016-01-03 12:00:00,6.4,1.6,47,456.0,14.7,40.96000000000001,0.0,11.6,4.496500000000001,8.76115,1,3.5191717228897796
2016-01-03 13:00:00,6.7,1.7,47,452.0,15.8,44.89,0.0,11.3,4.867,8.973700000000001,1,3.732927309442829
2016-01-03 14:00:00,7.5,2.4,44,397.0,16.6,56.25,0.0,10.5,5.96,9.656,1,4.619832815947569
2016-01-03 15:00:00,7.3,2.1,44,303.0,17.3,53.29,0.0,10.7,5.715999999999999,9.5176,1,4.283136371746953
2016-01-03 16:00:00,6.4,1.8,49,153.0,13.2,40.96000000000001,0.0,11.6,4.415500000000001,8.67205,1,3.751002664814064
2016-01-03 17:00:00,4.8,0.3,53,27.0,13.2,23.04,0.0,13.2,2.2295,7.307449999999999,1,1.7979638634189787
2016-01-03 18:00:00,3.5,-0.9,57,0.0,11.8,12.25,0.0,14.5,0.3650000000000002,6.101500000000001,0,0.47929796010590087
2016-01-03 19:00:00,2.5,-1.6,60,0.0,9.4,6.25,0.0,15.5,-1.0999999999999996,5.140000000000001,0,-0.18032141272479185
2016-01-03 20:00:00,1.6,-2.2,64,0.0,7.3,2.5600000000000005,0.0,16.4,-2.528,4.1542,0,-0.6412375628773
2016-01-03 21:00:00,0.7,-3.2,68,0.0,8.4,0.48999999999999994,0.0,17.3,-3.992,3.1288,0,-2.0373212100426588
