datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,BC,BC,3819.130,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,CNCT,AE,1164.845,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,CNCT,DPL,2223.866,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,GPU,JC,2623.910,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,GPU,ME,1727.762,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,GPU,PN,1979.211,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,PE,PE,4625.911,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,PEP,PEP,3330.472,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,PL,PLCO,4917.677,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,PL,UGI,141.403,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,PS,PS,4728.948,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,MIDATL,RECO,RECO,163.265,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,AEP,AEP,15441.311,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,AP,AP,5896.066,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,ATSI,OE,6800.414,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,ATSI,PAPWR,539.243,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,CE,CE,11562.253,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,DAY,DAY,1819.000,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,DEOK,DEOK,2910.000,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RFC,WEST,DUQ,DUQ,1654.725,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,RTO,RTO,RTO,RTO,91392.412,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,SERC,SOUTH,DOM,DOM,11481.000,True
1/1/2014 5:00:00 AM,1/1/2014 12:00:00 AM,SERC,WEST,EKPC,EKPC,1842.000,True
1/1/2014 6:00:00 AM,1/1/2014 1:00:00 AM,RFC,MIDATL,BC,BC,3798.535,True
1/1/2014 6:00:00 AM,1/1/2014 1:00:00 AM,RFC,MIDATL,CNCT,AE,1112.931,True
1/1/2014 6:00:00 AM,1/1/2014 1:00:00 AM,RFC,MIDATL,CNCT,DPL,2202.349,True
1/1/2014 6:00:00 AM,1/1/2014 1:00:00 AM,RFC,MIDATL,GPU,JC,2483.254,True
1/1/2014 6:00:00 AM,1/1/2014 1:00:00 AM,RFC,MIDATL,GPU,ME,1691.365,True
1/1/2014 6:00:00 AM,1/1/2014 1:00:00 AM,RFC,MIDATL,GPU,PN,1910.791,True
