datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,JC,JC,2244.564,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,ME,ME,1572.345,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,WEST,ATSI,OE,6458.484,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,WEST,OVEC,OVEC,45.000,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,WEST,ATSI,PAPWR,528.099,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PE,PE,3829.269,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PEP,PEPCO,2355.199,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PL,PLCO,4258.154,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PN,PN,1826.533,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PS,PS,4363.219,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,RECO,RECO,136.031,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PEP,SMECO,391.797,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,PL,UGI,111.293,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RFC,MIDATL,AE,VMEU,75.284,False
11/14/2025 4:00:00 AM,11/13/2025 11:00:00 PM,RTO,RTO,RTO,RTO,86907.923,False
