year,date,days_before_bf,area,actual_peak_hour,predicted_peak_hour,difference,is_correct
2016,2016-11-16,9,AEPAPT,7,7,0,True
2016,2016-11-16,9,AEPIMP,10,10,0,True
2016,2016-11-16,9,AEPKPT,8,8,0,True
2016,2016-11-16,9,AEPOPT,7,7,0,True
2016,2016-11-16,9,AP,7,7,0,True
2016,2016-11-16,9,BC,18,18,0,True
2016,2016-11-16,9,CE,18,18,0,True
2016,2016-11-16,9,DAY,18,18,0,True
2016,2016-11-16,9,DEOK,18,18,0,True
2016,2016-11-16,9,DOM,7,7,0,True
2016,2016-11-16,9,DPLCO,7,7,0,True
2016,2016-11-16,9,DUQ,17,17,0,True
2016,2016-11-16,9,EASTON,7,7,0,True
2016,2016-11-16,9,EKPC,7,7,0,True
2016,2016-11-16,9,JC,18,18,0,True
2016,2016-11-16,9,ME,18,18,0,True
2016,2016-11-16,9,OE,18,18,0,True
2016,2016-11-16,9,PAPWR,8,8,0,True
2016,2016-11-16,9,PE,17,17,0,True
2016,2016-11-16,9,PEPCO,17,17,0,True
2016,2016-11-16,9,PLCO,7,7,0,True
2016,2016-11-16,9,PN,8,8,0,True
2016,2016-11-16,9,PS,17,17,0,True
2016,2016-11-16,9,RECO,17,17,0,True
2016,2016-11-16,9,SMECO,6,6,0,True
2016,2016-11-16,9,UGI,18,18,0,True
2016,2016-11-17,8,AEPAPT,7,7,0,True
2016,2016-11-17,8,AEPIMP,7,7,0,True
2016,2016-11-17,8,AEPKPT,7,7,0,True
2016,2016-11-17,8,AEPOPT,7,7,0,True
2016,2016-11-17,8,AP,7,7,0,True
2016,2016-11-17,8,BC,18,18,0,True
2016,2016-11-17,8,CE,18,18,0,True
2016,2016-11-17,8,DAY,7,7,0,True
2016,2016-11-17,8,DEOK,18,18,0,True
2016,2016-11-17,8,DOM,7,7,0,True
2016,2016-11-17,8,DPLCO,19,19,0,True
2016,2016-11-17,8,DUQ,18,18,0,True
2016,2016-11-17,8,EASTON,7,7,0,True
2016,2016-11-17,8,EKPC,7,7,0,True
2016,2016-11-17,8,JC,18,18,0,True
2016,2016-11-17,8,ME,18,18,0,True
2016,2016-11-17,8,OE,8,18,10,False
2016,2016-11-17,8,PAPWR,18,18,0,True
2016,2016-11-17,8,PE,18,18,0,True
2016,2016-11-17,8,PEPCO,17,17,0,True
2016,2016-11-17,8,PLCO,17,17,0,True
2016,2016-11-17,8,PN,9,9,0,True
2016,2016-11-17,8,PS,17,17,0,True
2016,2016-11-17,8,RECO,17,17,0,True
2016,2016-11-17,8,SMECO,6,6,0,True
2016,2016-11-17,8,UGI,19,19,0,True
2016,2016-11-18,7,AEPAPT,7,7,0,True
2016,2016-11-18,7,AEPIMP,17,17,0,True
2016,2016-11-18,7,AEPKPT,7,7,0,True
2016,2016-11-18,7,AEPOPT,7,7,0,True
2016,2016-11-18,7,AP,7,7,0,True
2016,2016-11-18,7,BC,7,7,0,True
2016,2016-11-18,7,CE,18,18,0,True
2016,2016-11-18,7,DAY,13,8,5,False
2016,2016-11-18,7,DEOK,18,18,0,True
2016,2016-11-18,7,DOM,7,7,0,True
2016,2016-11-18,7,DPLCO,7,7,0,True
2016,2016-11-18,7,DUQ,17,17,0,True
2016,2016-11-18,7,EASTON,7,7,0,True
2016,2016-11-18,7,EKPC,7,7,0,True
2016,2016-11-18,7,JC,17,17,0,True
2016,2016-11-18,7,ME,7,7,0,True
2016,2016-11-18,7,OE,13,18,5,False
2016,2016-11-18,7,PAPWR,7,7,0,True
2016,2016-11-18,7,PE,17,17,0,True
2016,2016-11-18,7,PEPCO,7,7,0,True
2016,2016-11-18,7,PLCO,7,7,0,True
2016,2016-11-18,7,PN,8,8,0,True
2016,2016-11-18,7,PS,17,17,0,True
2016,2016-11-18,7,RECO,17,17,0,True
2016,2016-11-18,7,SMECO,6,6,0,True
2016,2016-11-18,7,UGI,8,8,0,True
2016,2016-11-19,6,AEPAPT,19,19,0,True
2016,2016-11-19,6,AEPIMP,17,17,0,True
2016,2016-11-19,6,AEPKPT,19,19,0,True
2016,2016-11-19,6,AEPOPT,18,18,0,True
2016,2016-11-19,6,AP,18,18,0,True
2016,2016-11-19,6,BC,19,19,0,True
2016,2016-11-19,6,CE,19,18,1,True
2016,2016-11-19,6,DAY,18,18,0,True
2016,2016-11-19,6,DEOK,18,18,0,True
2016,2016-11-19,6,DOM,18,18,0,True
2016,2016-11-19,6,DPLCO,19,19,0,True
2016,2016-11-19,6,DUQ,17,17,0,True
2016,2016-11-19,6,EASTON,19,19,0,True
2016,2016-11-19,6,EKPC,19,20,1,True
2016,2016-11-19,6,JC,17,17,0,True
2016,2016-11-19,6,ME,17,17,0,True
2016,2016-11-19,6,OE,18,18,0,True
2016,2016-11-19,6,PAPWR,21,18,3,False
2016,2016-11-19,6,PE,17,17,0,True
2016,2016-11-19,6,PEPCO,18,18,0,True
2016,2016-11-19,6,PLCO,17,17,0,True
2016,2016-11-19,6,PN,17,17,0,True
2016,2016-11-19,6,PS,18,18,0,True
2016,2016-11-19,6,RECO,18,18,0,True
2016,2016-11-19,6,SMECO,19,19,0,True
2016,2016-11-19,6,UGI,18,18,0,True
2016,2016-11-20,5,AEPAPT,20,20,0,True
2016,2016-11-20,5,AEPIMP,18,18,0,True
2016,2016-11-20,5,AEPKPT,20,20,0,True
2016,2016-11-20,5,AEPOPT,19,19,0,True
2016,2016-11-20,5,AP,17,17,0,True
2016,2016-11-20,5,BC,18,18,0,True
2016,2016-11-20,5,CE,19,19,0,True
2016,2016-11-20,5,DAY,18,18,0,True
2016,2016-11-20,5,DEOK,18,18,0,True
2016,2016-11-20,5,DOM,19,19,0,True
2016,2016-11-20,5,DPLCO,18,18,0,True
2016,2016-11-20,5,DUQ,18,18,0,True
2016,2016-11-20,5,EASTON,18,18,0,True
2016,2016-11-20,5,EKPC,20,20,0,True
2016,2016-11-20,5,JC,18,18,0,True
2016,2016-11-20,5,ME,18,18,0,True
2016,2016-11-20,5,OE,18,18,0,True
2016,2016-11-20,5,PAPWR,17,17,0,True
2016,2016-11-20,5,PE,18,18,0,True
2016,2016-11-20,5,PEPCO,19,19,0,True
2016,2016-11-20,5,PLCO,18,18,0,True
2016,2016-11-20,5,PN,17,17,0,True
2016,2016-11-20,5,PS,18,18,0,True
2016,2016-11-20,5,RECO,18,18,0,True
2016,2016-11-20,5,SMECO,19,19,0,True
2016,2016-11-20,5,UGI,17,17,0,True
2016,2016-11-21,4,AEPAPT,7,7,0,True
2016,2016-11-21,4,AEPIMP,20,20,0,True
2016,2016-11-21,4,AEPKPT,7,7,0,True
2016,2016-11-21,4,AEPOPT,18,18,0,True
2016,2016-11-21,4,AP,18,18,0,True
2016,2016-11-21,4,BC,19,19,0,True
2016,2016-11-21,4,CE,18,18,0,True
2016,2016-11-21,4,DAY,18,18,0,True
2016,2016-11-21,4,DEOK,18,18,0,True
2016,2016-11-21,4,DOM,7,7,0,True
2016,2016-11-21,4,DPLCO,18,18,0,True
2016,2016-11-21,4,DUQ,17,17,0,True
2016,2016-11-21,4,EASTON,19,19,0,True
2016,2016-11-21,4,EKPC,7,7,0,True
2016,2016-11-21,4,JC,18,18,0,True
2016,2016-11-21,4,ME,17,17,0,True
2016,2016-11-21,4,OE,18,18,0,True
2016,2016-11-21,4,PAPWR,20,20,0,True
2016,2016-11-21,4,PE,17,17,0,True
2016,2016-11-21,4,PEPCO,18,18,0,True
2016,2016-11-21,4,PLCO,17,17,0,True
2016,2016-11-21,4,PN,17,17,0,True
2016,2016-11-21,4,PS,17,17,0,True
2016,2016-11-21,4,RECO,17,17,0,True
2016,2016-11-21,4,SMECO,19,19,0,True
2016,2016-11-21,4,UGI,18,18,0,True
2016,2016-11-22,3,AEPAPT,7,7,0,True
2016,2016-11-22,3,AEPIMP,11,11,0,True
2016,2016-11-22,3,AEPKPT,7,7,0,True
2016,2016-11-22,3,AEPOPT,7,7,0,True
2016,2016-11-22,3,AP,7,7,0,True
2016,2016-11-22,3,BC,7,7,0,True
2016,2016-11-22,3,CE,18,18,0,True
2016,2016-11-22,3,DAY,7,7,0,True
2016,2016-11-22,3,DEOK,8,18,10,False
2016,2016-11-22,3,DOM,7,7,0,True
2016,2016-11-22,3,DPLCO,18,18,0,True
2016,2016-11-22,3,DUQ,18,18,0,True
2016,2016-11-22,3,EASTON,7,7,0,True
2016,2016-11-22,3,EKPC,7,7,0,True
2016,2016-11-22,3,JC,18,18,0,True
2016,2016-11-22,3,ME,18,18,0,True
2016,2016-11-22,3,OE,18,18,0,True
2016,2016-11-22,3,PAPWR,19,19,0,True
2016,2016-11-22,3,PE,18,18,0,True
2016,2016-11-22,3,PEPCO,7,7,0,True
2016,2016-11-22,3,PLCO,17,17,0,True
2016,2016-11-22,3,PN,18,18,0,True
2016,2016-11-22,3,PS,17,17,0,True
2016,2016-11-22,3,RECO,17,17,0,True
2016,2016-11-22,3,SMECO,6,6,0,True
2016,2016-11-22,3,UGI,18,18,0,True
2016,2016-11-23,2,AEPAPT,7,7,0,True
2016,2016-11-23,2,AEPIMP,10,10,0,True
2016,2016-11-23,2,AEPKPT,7,7,0,True
2016,2016-11-23,2,AEPOPT,10,10,0,True
2016,2016-11-23,2,AP,7,7,0,True
2016,2016-11-23,2,BC,7,7,0,True
2016,2016-11-23,2,CE,12,18,6,False
2016,2016-11-23,2,DAY,10,10,0,True
2016,2016-11-23,2,DEOK,10,18,8,False
2016,2016-11-23,2,DOM,7,7,0,True
2016,2016-11-23,2,DPLCO,7,7,0,True
2016,2016-11-23,2,DUQ,9,9,0,True
2016,2016-11-23,2,EASTON,7,7,0,True
2016,2016-11-23,2,EKPC,8,8,0,True
2016,2016-11-23,2,JC,17,17,0,True
2016,2016-11-23,2,ME,7,7,0,True
2016,2016-11-23,2,OE,11,11,0,True
2016,2016-11-23,2,PAPWR,6,6,0,True
2016,2016-11-23,2,PE,17,17,0,True
2016,2016-11-23,2,PEPCO,7,7,0,True
2016,2016-11-23,2,PLCO,7,7,0,True
2016,2016-11-23,2,PN,8,8,0,True
2016,2016-11-23,2,PS,17,17,0,True
2016,2016-11-23,2,RECO,17,17,0,True
2016,2016-11-23,2,SMECO,7,7,0,True
2016,2016-11-23,2,UGI,17,17,0,True
2016,2016-11-24,1,AEPAPT,10,10,0,True
